"Cs2","cutoff.step","Power.min","SR.min","Case","n.stage1","n.stage2","n.total.trial","Ce1","Ce2","Power.min","SR.min"
0.95,1,0.9,0.7,1,10,34,186,0.9277971419299568,0.686038144031223,0.9053,0.768
0.95,1,0.9,0.7,2,10,34,142,0.9277971419299568,0.8280359303868586,0.9053,0.7369
0.95,1,0.9,0.7,3,15,36,174,0.929972761705123,0.6501971556676218,0.9,0.7791
0.95,1,0.9,0.7,4,11,38,136,0.9272865669711421,0.8040454362011701,0.9039,0.756
0.9,2,0.85,0.7,1,15,26,179,0.9305678008508271,0.6933086184747874,0.8692,0.7142
0.9,2,0.85,0.7,2,13,30,142,0.9191496872547098,0.8422435799048912,0.8731,0.7022
0.9,2,0.85,0.7,3,14,31,152,0.9258250766890423,0.6584732996345531,0.8507,0.7168
0.9,2,0.85,0.7,4,13,33,125,0.9176807910692025,0.8049349283476493,0.8635,0.704
0.95,2,0.85,0.7,1,15,26,179,0.9305678008508271,0.6933086184747874,0.8692,0.7142
0.95,2,0.85,0.7,2,10,33,139,0.9191496872547098,0.8352093002491632,0.8642,0.7014
0.95,2,0.85,0.7,3,14,31,152,0.9258250766890423,0.6584732996345531,0.8507,0.7168
0.95,2,0.85,0.7,4,11,34,124,0.9209240456691313,0.810678741697576,0.8666,0.7102
0.8,1,0.9,0.7,1,16,28,192,0.9337368392711695,0.686038144031223,0.9012,0.7552
0.8,1,0.9,0.7,2,12,33,147,0.9269637590928043,0.8269134972842314,0.9063,0.742
0.8,1,0.9,0.7,3,19,35,178,0.9216819242753083,0.6621711642639639,0.9054,0.7705
0.8,1,0.9,0.7,4,12,39,141,0.9214207276581542,0.8140197111635138,0.9052,0.7498
0.85,1,0.9,0.7,1,13,31,189,0.9277971419299568,0.7452089606367841,0.903,0.702
0.85,1,0.9,0.7,2,13,31,145,0.9277971419299568,0.8341487219722654,0.903,0.7296
0.85,1,0.9,0.7,3,19,35,178,0.9216819242753083,0.6621711642639639,0.9054,0.7705
0.85,1,0.9,0.7,4,12,39,141,0.9214207276581542,0.8140197111635138,0.9052,0.7498
0.9,1,0.9,0.7,1,13,31,189,0.9277971419299568,0.7452089606367841,0.903,0.702
0.9,1,0.9,0.7,2,9,36,144,0.9269637590928043,0.8215856064874447,0.907,0.748
0.9,1,0.9,0.7,3,15,36,174,0.929972761705123,0.6501971556676218,0.9,0.7791
0.9,1,0.9,0.7,4,15,36,138,0.929972761705123,0.8048625751847013,0.9,0.7464
0.95,2,0.9,0.7,1,16,28,192,0.9337368392711695,0.686038144031223,0.9012,0.7552
0.95,2,0.9,0.7,2,16,28,148,0.9337368392711695,0.8280359303868586,0.9012,0.7232
0.95,2,0.9,0.7,3,16,37,180,0.9245909239196606,0.668557584943912,0.9041,0.7784
