"Cs2","cutoff.step","Power.min","SR.min","Method","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP"
0.95,2,0.8,0.6,"BOP2-OC",144.81,82.5,74.52,68.43,65.56,78.03, ,117.38,83.28,74.96,59.5,58.06,77.55, ,126.68,82.93,76.1,71.03,68.42,81.28, ,102.11,82.91,75.89,62.62,60.92,81.06
0.95,2,0.8,0.6,"Dunnett",148,89.22,87.05,74.54,73.43,96.58, ,120,88.56,86.47,62.29,61.47,96.77, ,128,82.75,79.92,67.36,65.88,95.06, ,103,83.75,81.55,58.18,57.21,96.67
0.95,2,0.8,0.6,"BOP2-OC",145.61,87.37,75.13,72.97,62.39,83.55, ,118.07,89.17,76.84,71.09,60.88,83.6, ,126.97,86.46,75.37,73.18,63.52,86.5, ,102.35,86.37,75.31,71.11,61.78,86.7
0.95,2,0.8,0.6,"Dunnett",148,91.33,49.61,78.81,42.39,54.92, ,120,89.09,48.94,74.78,40.65,55.42, ,128,85.13,46.86,70.89,38.55,55.89, ,103,87.11,45.35,73.72,39.26,50.72
0.95,2,0.8,0.6,"BOP2-OC",145.61,87.32,75.16,65.58,56.14,83.52, ,118.07,88.94,76.69,57.44,49.34,83.62, ,126.97,86.6,75.48,66.92,57.81,86.51, ,102.33,86.53,75.59,60.18,52.24,86.75
0.95,2,0.8,0.6,"Dunnett",148,91.33,49.61,71.54,38.36,54.92, ,120,89.09,48.94,62.78,34.01,55.42, ,128,85.13,46.86,64.52,34.82,55.89, ,103,87.11,45.35,62.94,33.86,50.72
0.95,2,0.8,0.6,"BOP2-OC",146.92,90.25,73.52,76.98,61.37,81.38, ,119.16,92.25,75.2,75.68,60.1,81.28, ,127.72,88.4,73,76.35,61.79,83.6, ,102.79,88.13,73.44,74.07,60.47,84.25
0.95,2,0.8,0.6,"Dunnett",148,94.48,36.86,85.95,32.63,39.75, ,120,93.05,36.05,82.95,31.32,39.48, ,128,89.66,36.18,79.3,30.91,41.54, ,103,91.18,33.92,80.66,30.41,36.74
0.95,2,0.8,0.6,"BOP2-OC",135.73,74.24,64.74,61.87,53.16,72.19, ,110.49,76.53,66.53,61.66,52.69,72.66, ,119.7,78.91,66.98,67.51,56.54,77.36, ,96.98,78.68,67.18,64.83,54.42,78.06
0.95,2,0.8,0.6,"Dunnett",148,94.48,36.86,85.95,32.63,39.75, ,120,93.05,36.05,82.95,31.32,39.48, ,128,89.66,36.18,79.3,30.91,41.54, ,103,91.18,33.92,80.66,30.41,36.74
0.95,1,0.8,0.6,"BOP2-OC",128.74,8.89,8.89,4.86,4.86,91.02, ,98.6,8.89,8.89,5.17,5.17,90.72, ,119.94,9.6,9.6,4.78,4.78,91.02, ,94.21,9.83,9.83,5.12,5.12,90.72
0.95,1,0.8,0.6,"Dunnett",137,10.17,10.17,5.11,5.11,100, ,105,10.1,10.1,5.06,5.06,100, ,130,10.03,10.03,5.02,5.02,100, ,102,10,10,5.03,5.03,100
